Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-04-01 00:54,buy,CFXUSDT,0.41857,0.43238,0.40941,0.42471,0.37206,-6.679%,2024-04-01 05:24,Ganada
2024-04-01 08:35,sell,XVGUSDT,0.008385,0.008117,0.00829,0.009421,0.009433,39.169%,2024-04-01 13:18,Perdida
2024-04-04 08:43,sell,ATAUSDT,0.2236,0.2165,0.2197,0.2511,0.2515,40.547%,2024-04-04 11:59,Perdida
2024-04-04 12:21,sell,RENUSDT,0.09322,0.09024,0.09028,0.09493,0.10487,11.205%,2024-04-04 12:42,Ganada
2024-04-05 23:42,sell,IOTXUSDT,0.07903,0.07651,0.07665,0.0793,0.08891,11.275%,2024-04-06 01:37,Ganada
2024-04-06 16:31,sell,REEFUSDT,0.00319,0.00309,0.003114,0.00319,0.00359,12.975%,2024-04-06 17:08,Break Even
2024-04-06 22:35,sell,KEYUSDT,0.010623,0.010284,0.010441,0.010715,0.011951,6.333%,2024-04-07 00:14,Ganada
2024-04-07 01:13,sell,API3USDT,3.4889,3.3774,3.3783,3.5341,3925,5.766%,2024-04-07 12:37,Ganada
2024-04-07 21:22,sell,SFPUSDT,0.8239,0.7976,0.8182,0.9195,0.9269,29.698%,2024-04-08 00:16,Perdida
2024-04-08 04:20,sell,NEOUSDT,17891,17319,17391,17891,20127,12.168%,2024-04-08 04:40,Ganada
2024-04-08 06:55,sell,OXTUSDT,0.15099,0.14617,0.14779,0.15183,0.16986,7.725%,2024-04-08 07:26,Break Even
2024-04-08 05:11,sell,FLMUSDT,0.1377,0.1333,0.1362,0.1543,0.1549,26.813%,2024-04-08 09:32,Perdida
2024-04-08 10:10,sell,EOSUSDT,1131,1095,1.1,1.14,1272,6.545%,2024-04-08 11:26,Break Even
2024-04-08 06:50,sell,QTUMUSDT,4.99,4.83,4861,5174,5.61,14.47%,2024-04-08 13:18,Break Even
2024-04-08 18:04,sell,PERPUSDT,1.5046,1.4565,1.4572,1.5152,1.6927,10.589%,2024-04-08 19:36,Ganada
2024-04-08 19:53,sell,PEOPLEUSDT,0.04165,0.04032,0.04055,0.04192,0.04686,13.579%,2024-04-08 20:15,Break Even
2024-04-08 16:20,sell,BATUSDT,0.3237,0.3134,0.3136,0.3309,0.3642,2.993%,2024-04-09 01:46,Ganada
