Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-08-02 15:15,buy,TWTUSDT,0.9162,0.9464,0.9144,937,0.8563,-9675,2024-08-02 18:49,Break Even
2024-08-02 19:14,buy,IDUSDT,0.38163,0.39422,0.38128,0.39416,0.35666,-15183,2024-08-02 22:33,Ganada
2024-08-02 18:56,buy,ZKUSDT,0.12027,0.12424,0.11735,0.12333,0.1124,-15874,2024-08-03 02:22,Break Even
2024-08-03 11:02,buy,LITUSDT,597,617,578,601,558,-10463,2024-08-03 15:11,Cierre Preventivo
2024-08-03 11:04,buy,LQTYUSDT,0.6528,0.6743,0.6379,654,0.6101,-9431,2024-08-03 15:11,Cierre Preventivo
2024-08-03 11:20,buy,NEOUSDT,9463,9775,9377,9716,8844,-7.7,2024-08-04 02:09,Break Even
2024-08-04 19:03,buy,AMBUSDT,0.006035,0.006234,0.005684,0.006035,0.00564,-24531,2024-08-04 19:11,Perdida
2024-08-04 19:10,buy,COMPUSDT,34.61,35.75,34.61,35.14,32.35,-21783,2024-08-04 19:13,Ganada
2024-08-04 19:11,buy,BALUSDT,1639,1693,1639,1684,1532,-22254,2024-08-04 19:15,Ganada
2024-08-05 00:10,buy,LINKUSDT,8.81,9.1,8525,8845,8.23,-24957,2024-08-05 00:25,Perdida
2024-08-05 00:23,buy,BNXUSDT,1.08,1.12,1.0317,1.1196,1.01,-20477,2024-08-05 01:43,Ganada
2024-08-05 00:14,buy,RIFUSDT,0.06305,0.06513,0.05912,0.06403,0.05893,-24791,2024-08-05 04:38,Perdida
2024-08-07 16:23,buy,LDOUSDT,0.9918,1.0245,0.9918,1.0132,0.9269,-12.96,2024-08-07 18:34,Break Even
2024-08-08 15:54,sell,GASUSDT,3565,3451,3483,3631,3815,22333,2024-08-08 18:29,Break Even
2024-08-08 17:13,sell,CFXUSDT,0.13856,0.13413,0.13492,0.14229,0.14826,19569,2024-08-09 00:38,Break Even
2024-08-10 06:55,sell,YGGUSDT,0.4103,0.3972,0.4004,0.4103,439,18975,2024-08-10 07:34,Break Even
2024-08-10 14:34,sell,TUSDT,0.02341,0.02266,0.02271,0.02363,0.02505,18273,2024-08-10 16:15,Ganada
2024-08-10 16:46,sell,NEOUSDC,9861,9546,9787,9998,10551,2487,2024-08-11 03:22,Cierre Preventivo
2024-08-11 03:21,sell,FLMUSDT,0.0566,0.0548,0.0549,0.0566,0.0606,7.81,2024-08-11 05:13,Ganada
2024-08-11 03:24,sell,KEYUSDT,0.00442,0.00428,0.00429,0.004449,0.00473,4632,2024-08-11 06:15,Ganada
2024-08-11 03:04,sell,GMXUSDT,25542,24726,24.74,25827,27.33,10741,2024-08-11 07:29,Ganada
2024-08-12 07:20,sell,CRVUSDT,293,284,285,298,314,16528,2024-08-12 08:09,Break Even
2024-08-12 07:06,sell,CRVUSDC,0.2891,0.2799,0.2855,0.3047,0.3093,15333,2024-08-12 11:11,Cierre Preventivo
2024-08-13 15:31,sell,BANDUSDT,1.2544,1.2143,1.2246,1.2544,1.3422,17664,2024-08-13 15:46,Ganada
2024-08-14 04:35,sell,TONUSDT,7.2374,7.0062,7.0135,7.2441,7744,15804,2024-08-14 07:34,Ganada
2024-08-17 08:12,sell,KLAYUSDT,0.1368,0.1324,0.1362,0.1456,0.1464,7121,2024-08-17 11:52,Perdida
2024-08-17 09:23,sell,CTSIUSDT,0.1223,0.1184,0.1205,0.1251,0.1309,3.99,2024-08-17 13:55,Cierre Preventivo
2024-08-18 05:24,sell,AMBUSDT,0.009177,0.008884,0.008958,0.009177,0.009819,21.78,2024-08-18 05:29,Ganada
2024-08-18 08:12,sell,OGNUSDT,0.0803,0.0777,0.0778,0.0805,0.0859,9809,2024-08-18 08:53,Ganada
2024-08-19 07:22,sell,CTSIUSDT,0.1354,0.1311,0.1327,136,0.1449,9512,2024-08-19 07:34,Break Even
2024-08-19 17:13,sell,FETUSDT,0.9175,0.8882,0.8932,0.9232,0.9817,10.59,2024-08-19 18:28,Break Even
2024-08-19 23:16,sell,WIFUSDT,1.5521,1.5025,1.5489,1.6171,1.6607,13773,2024-08-20 03:22,Cierre Preventivo
2024-08-20 03:35,sell,AUCTIONUSDT,19296,18.68,18972,19896,20647,12167,2024-08-20 08:44,Cierre Preventivo
2024-08-20 09:12,buy,BAKEUSDT,287,296,287,0.2942,268,-18808,2024-08-20 09:26,Break Even
2024-08-20 05:40,sell,TRXUSDT,0.14789,0.14317,0.14733,0.15446,0.15824,7.48,2024-08-20 09:44,Cierre Preventivo
2024-08-21 00:11,sell,KSMUSDT,19008,18401,18546,19189,20339,5651,2024-08-21 08:00,Break Even
2024-08-22 20:43,sell,GMTUSDT,0.13573,0.13139,0.13224,0.13687,0.14523,16438,2024-08-23 00:21,Break Even
2024-08-23 00:43,sell,CKBUSDT,0.009089,0.008799,0.008997,0.009706,0.009725,10499,2024-08-23 04:28,Perdida
2024-08-23 02:03,sell,CFXUSDT,0.15523,0.15027,0.15068,0.15689,0.1661,6224,2024-08-23 08:02,Break Even
