Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-02-03 11:48,sell,CVXUSDT,3318,3212,3217,3.36,3816,2024-02-03 12:47,0,Ganada
2024-02-03 16:17,sell,USTCUSDT,0.02666,0.02581,0.02589,0.02685,0.03066,2024-02-03 20:16,0,Break Even
2024-02-04 02:50,buy,NTRNUSDT,1.0121,1.0455,1.0112,1.0438,0.8801,2024-02-04 05:38,0,Ganada
2024-02-04 10:49,sell,NMRUSDT,29.92,28.96,28.98,30.29,34.41,2024-02-04 11:41,0,Ganada
2024-02-04 03:12,buy,RLCUSDT,2185,2257,2.1749,2.2477,1.9,2024-02-04 11:42,0,Break Even
2024-02-04 18:59,buy,ACHUSDT,0.01741,0.01798,0.01724,0.017955,0.01514,2024-02-05 01:41,0,Ganada
2024-02-04 19:16,buy,BICOUSDT,0.3237,0.3344,0.3216,0.3329,0.2815,2024-02-05 03:17,0,Break Even
2024-02-06 02:55,sell,TRXUSDT,0.1229,119,0.12025,0.12629,0.1413,2024-02-06 11:29,0,Break Even
2024-02-06 20:25,sell,GTCUSDT,1281,1.24,1247,1281,1473,2024-02-06 20:32,0,Ganada
2024-02-07 01:16,sell,EDUUSDT,0.6561,0.6351,0.6381,0.6561,0.7545,2024-02-07 03:53,0,Break Even
2024-02-04 03:03,buy,STGUSDT,0.5061,0.5228,0.4903,522,0.4401,2024-02-07 10:47,3,Ganada
2024-02-07 12:48,sell,CFXUSDT,0.2337,0.2262,0.2285,0.2397,0.2688,2024-02-07 18:54,0,Break Even
2024-02-07 13:04,sell,ARKMUSDT,0.5851,0.5664,0.5678,0.5944,0.6729,2024-02-07 19:33,0,Ganada
2024-02-07 15:45,sell,RSRUSDT,0.002346,0.002271,0.0023,0.002347,0.002698,2024-02-07 23:54,0,Break Even
2024-02-07 14:23,sell,RLCUSDT,2.3497,2.2746,2279,2.4016,2.7022,2024-02-08 00:01,0,Ganada
2024-02-09 04:13,sell,RVNUSDT,0.01989,0.01925,0.01947,0.01993,0.02287,2024-02-09 05:16,0,Break Even
2024-02-09 02:36,sell,JASMYUSDT,0.005734,0.005551,0.005595,0.006283,0.006594,2024-02-09 12:53,0,Break Even
2024-02-09 14:16,sell,SUPERUSDT,0.7355,712,0.7134,0.7431,0.8458,2024-02-09 16:41,0,Ganada
2024-02-09 04:45,sell,RUNEUSDT,5342,5171,5172,5498,6143,2024-02-10 02:51,0,Ganada
2024-02-09 20:00,sell,PENDLEUSDT,3.3027,3.1972,3.2036,3.3838,3.7981,2024-02-10 04:37,0,Ganada
2024-02-10 15:58,sell,SPELLUSDT,0.000564,0.000546,0.0005532,0.0006418,0.000649,2024-02-10 18:35,0,Perdida
2024-02-07 15:26,sell,STXUSDT,1.6485,1.5958,1.6372,1.8903,1.8958,2024-02-10 22:28,3,Perdida
2024-02-10 18:38,sell,SLPUSDT,0.003392,0.003284,0.003288,0.00357,0.003901,2024-02-11 05:42,0,Ganada
2024-02-11 06:27,sell,POWRUSDT,0.3447,0.3337,0.3447,0.3915,0.3964,2024-02-11 08:02,0,Perdida
2024-02-11 07:27,sell,HIFIUSDT,0.6269,0.6069,0.6096,0.6854,0.7209,2024-02-11 11:40,0,Break Even
2024-02-11 08:16,sell,LOOMUSDT,0.09413,0.09112,0.09168,0.09814,0.10825,2024-02-11 17:27,0,Break Even
2024-02-09 21:14,sell,IMXUSDT,2.6302,2.5462,2.6157,3.0204,3.0247,2024-02-11 19:23,1,Perdida
2024-02-12 01:13,sell,API3USDT,3.7608,3.6407,3.6476,3.7665,4.3249,2024-02-12 02:04,0,Ganada
2024-02-12 11:34,sell,CKBUSDT,0.005275,0.005106,0.005222,0.006019,0.006066,27.723%,2024-02-12 20:16,Perdida
2024-02-13 03:13,sell,C98USDT,0.2934,284,0.2849,0.2955,0.3374,18.193%,2024-02-13 03:43,Ganada
2024-02-13 01:43,sell,DARUSDT,0.1456,0.1409,0.1413,0.1542,0.1674,20.798%,2024-02-13 03:44,Ganada
2024-02-12 13:24,sell,CVXUSDT,3393,3285,3325,3.41,3902,7.34%,2024-02-13 06:43,Break Even
2024-02-14 03:34,sell,LEVERUSDT,0.0017915,0.0017343,0.0017464,0.0019299,0.0020154,20.405%,2024-02-14 04:13,Break Even
