Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-01-14 08:14,sell,DUSKUSDT,0.19948,0.19311,0.1935,0.20047,0.2294,2024-01-14 08:52,0,Ganada
2024-01-13 08:44,sell,TRXUSDT,0.11572,0.11202,0.11217,0.1176,0.13308,2024-01-14 13:58,1,Ganada
2024-01-15 23:24,sell,KLAYUSDT,0.2232,0.2161,0.2232,0.2536,0.2567,2024-01-15 23:42,0,Perdida
2024-01-16 00:24,sell,KLAYUSDT,251,243,0.2457,251,289,2024-01-16 00:35,0,Break Even
2024-01-16 02:57,sell,CHZUSDT,0.10386,0.10054,0.10169,0.1052,0.11944,2024-01-16 04:18,0,Break Even
2024-01-16 07:35,sell,IOTXUSDT,0.04696,0.04546,0.04552,0.04774,54,2024-01-16 09:01,0,Break Even
2024-01-17 19:38,sell,GASUSDT,6936,6714,6791,7001,7976,2024-01-17 20:07,0,Break Even
2024-01-18 13:57,buy,DENTUSDT,0.001058,0.001093,0.001052,0.001082,0.00092,2024-01-18 18:23,0,Break Even
2024-01-18 20:26,sell,UMAUSDT,3404,3295,3373,3479,3915,2024-01-18 20:35,0,Ganada
2024-01-17 19:39,buy,AUCTIONUSDT,24.64,25.45,22.48,25.42,21.43,2024-01-18 22:00,1,Break Even
2024-01-19 01:26,buy,MAVUSDT,0.5258,0.5432,0.5231,541,0.4572,2024-01-19 03:17,0,Ganada
2024-01-19 10:47,buy,GMXUSDT,45.48,46.98,45.14,46.86,39.55,2024-01-19 12:46,0,Ganada
2024-01-19 19:14,sell,API3USDT,2.03,1.97,2.0269,2.3044,2.33,2024-01-19 20:01,0,Perdida
2024-01-20 00:03,sell,API3USDT,2.4866,2.4072,2.4621,2.8593,2.8596,2024-01-20 07:59,0,Perdida
2024-01-18 11:14,buy,STGUSDT,0.5503,0.5685,0.5176,0.5617,0.4785,2024-01-20 10:33,1,Break Even
2024-01-20 18:01,sell,ZRXUSDT,0.3361,0.3254,0.3255,0.3361,0.3865,2024-01-20 18:13,0,Ganada
2024-01-20 19:46,sell,OGNUSDT,0.1886,0.1826,0.1833,0.1935,0.2169,2024-01-20 20:13,0,Ganada
2024-01-20 17:57,sell,XEMUSDT,0.0443,0.0429,0.0434,0.0491,0.0509,2024-01-20 20:59,0,Break Even
2024-01-21 05:00,sell,SLPUSDT,0.003303,0.003197,0.003198,0.003394,0.003798,2024-01-21 07:15,0,Break Even
2024-01-21 07:13,sell,CTSIUSDT,0.2185,0.2115,0.2147,249,0.2513,2024-01-21 09:02,0,Perdida
2024-01-21 11:48,sell,IDEXUSDT,0.05499,0.05323,0.05337,0.05525,0.06324,2024-01-21 12:57,0,Ganada
2024-01-20 20:45,sell,OCEANUSDT,456,441,0.4463,0.4674,524,2024-01-21 21:50,1,Break Even
2024-01-22 18:23,buy,BLZUSDT,0.30286,0.31285,0.26983,0.31166,0.26336,2024-01-24 12:07,1,Break Even
2024-01-26 10:00,sell,ZRXUSDT,371,359,0.3608,0.3784,427,2024-01-26 12:10,0,Ganada
2024-01-26 02:16,sell,OXTUSDT,0.09573,0.09267,0.0936,0.1007,0.11009,2024-01-26 18:15,0,Break Even
2024-01-27 13:13,sell,ALPHAUSDT,0.10676,0.10335,0.10545,0.11104,0.12277,2024-01-27 13:23,0,Ganada
2024-01-27 14:36,sell,API3USDT,2.5613,2.4795,2.5405,2914,2.9455,2024-01-27 17:03,0,Perdida
2024-01-27 19:59,sell,RNDRUSDT,4.2601,4124,4.1263,4.2674,4.8991,2024-01-28 02:08,0,Ganada
2024-01-27 13:49,sell,EDUUSDT,0.6238,0.6039,0.6043,0.6576,0.7174,2024-01-28 06:18,0,Ganada
2024-01-27 19:11,sell,EOSUSDT,728,705,713,734,837,2024-01-28 07:25,0,Break Even
2024-01-28 06:50,sell,LSKUSDT,1404,1359,1369,1.43,1615,2024-01-28 08:16,0,Ganada
2024-01-26 09:46,sell,LINAUSDT,0.00825,0.00799,8,0.00902,0.00949,2024-01-28 11:29,2,Break Even
2024-01-27 21:23,sell,AVAXUSDT,35353,34224,34374,36639,40656,2024-01-28 19:22,0,Break Even
2024-01-29 20:37,sell,HIGHUSDT,1605,1554,1556,1605,1846,2024-01-29 21:27,0,Ganada
2024-01-30 02:04,sell,CKBUSDT,4,4,4,4,5,2024-01-30 02:05,0,Ganada
2024-01-30 12:05,sell,MAVUSDT,0.7077,0.6851,0.6856,0.7129,0.8139,2024-01-30 17:40,0,Ganada
2024-01-31 15:07,buy,JUPUSDT,0.6237,0.6443,0.6216,0.6419,0.5423,2024-01-31 15:59,0,Ganada
