Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-07-01 01:02,sell,ZENUSDT,7845,7594,7598,7.9,8394,22586,2024-07-01 01:16,Ganada
2024-07-01 20:17,buy,ETHFIUSDT,2738,2828,2717,2815,2559,-14.16,2024-07-01 23:50,Break Even
2024-07-02 09:45,buy,PENDLEUSDT,4.4939,4.6422,4.2264,4.4939,4.1999,-8958,2024-07-02 10:26,Perdida
2024-07-02 13:44,sell,BNXUSDT,0.9716,0.9406,0.9675,1.0389,1.0396,21.97,2024-07-03 00:50,Perdida
2024-07-02 02:00,buy,IOSTUSDT,0.006059,0.006259,0.005889,0.006192,0.005663,-8308,2024-07-03 02:05,Break Even
2024-07-03 04:05,buy,ARKUSDT,0.3962,0.4093,0.3717,0.3979,0.3703,-7511,2024-07-03 19:35,Perdida
2024-07-04 07:04,buy,COMBOUSDT,0.5078,0.5246,507,0.5191,0.4746,-16.18,2024-07-04 07:17,Break Even
2024-07-04 06:52,buy,PEOPLEUSDT,0.06767,0.0699,0.06694,0.06981,0.06324,-17.98,2024-07-04 08:49,Ganada
2024-07-04 06:52,buy,GMTUSDT,0.14064,0.14528,0.13751,0.14091,0.13144,-9395,2024-07-04 16:44,Cierre Preventivo
2024-07-06 09:36,sell,AXLUSDT,0.6105,591,0.6083,0.6354,0.6532,24056,2024-07-06 13:44,Cierre Preventivo
2024-07-06 11:02,sell,1INCHUSDT,0.3915,379,0.3879,0.3999,0.4189,11272,2024-07-06 15:11,Cierre Preventivo
2024-07-07 02:36,sell,GLMUSDT,322,312,315,322,345,21703,2024-07-07 03:41,Break Even
2024-07-06 11:43,sell,ARBUSDT,0.6907,0.6686,669,0.6983,739,10014,2024-07-07 08:02,Ganada
2024-07-07 15:40,buy,TRXUSDT,0.12541,0.12955,0.12266,0.12546,0.11721,-3177,2024-07-07 19:44,Cierre Preventivo
