Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-06-01 13:13,sell,GTCUSDT,1629,1577,1609,1.71,1743,18.36,2024-06-01 14:38,Perdida
2024-06-01 15:22,sell,AXSUSDT,8224,7961,7968,8249,8.8,11015,2024-06-01 16:14,Ganada
2024-06-02 02:08,sell,WUSDT,0.6625,0.6413,0.6416,0.6679,0.7089,13333,2024-06-02 03:41,Ganada
2024-06-02 01:18,sell,REZUSDT,0.1755,0.1699,0.1705,0.1856,0.1878,23588,2024-06-02 03:48,Ganada
2024-06-02 02:57,sell,AEVOUSDT,0.9737,0.9426,0.9543,0.9846,1.0419,9326,2024-06-02 04:17,Break Even
2024-06-01 19:02,sell,ONEUSDT,0.02232,0.02161,0.0217,0.02268,0.02388,3338,2024-06-02 07:20,Break Even
2024-06-04 15:06,sell,TWTUSDT,1.3906,1.3462,1.3495,1.3931,1.4879,13083,2024-06-04 15:23,Ganada
2024-06-04 14:30,sell,ZECUSDT,27.78,26.89,27.19,28.53,29.72,8171,2024-06-04 17:07,Break Even
2024-06-05 09:39,sell,BBUSDT,0.8314,0.8048,0.81,0.8314,0.8896,19856,2024-06-05 10:18,Ganada
2024-06-05 16:13,sell,DENTUSDT,0.001584,0.001533,0.00155,0.001605,0.001695,12722,2024-06-05 16:20,Ganada
2024-06-07 07:52,sell,COTIUSDT,0.15363,0.14872,0.15029,0.15363,0.16438,10129,2024-06-07 08:12,Break Even
2024-06-07 07:30,sell,KNCUSDT,0.7238,0.7007,0.7038,0.7282,0.7745,8.2,2024-06-07 12:01,Ganada
2024-06-07 08:16,buy,FRONTUSDT,1.5031,1.5527,1.4609,1.5049,1.4048,-10057,2024-06-07 12:01,Perdida
2024-06-10 01:58,buy,AEVOUSDT,0.7428,0.7673,0.7399,0.7669,0.6942,-5471,2024-06-10 03:14,Ganada
2024-06-10 01:08,buy,OMNIUSDT,15337,15843,15219,15733,14334,-6581,2024-06-10 08:11,Break Even
2024-06-11 11:14,buy,GMXUSDT,34342,35475,33828,35355,32095,-10826,2024-06-12 06:31,Ganada
2024-06-12 06:51,sell,KSMUSDT,31.4,30.4,30.42,31.82,33.6,13422,2024-06-12 09:16,Ganada
2024-06-12 10:43,sell,LPTUSDT,25251,24444,24471,26272,27019,23884,2024-06-12 13:40,Ganada
2024-06-12 07:53,sell,BAKEUSDT,0.3704,0.3586,361,0.3959,0.3963,21755,2024-06-12 15:01,Ganada
2024-06-13 10:02,buy,SFPUSDT,0.7379,0.7623,0.7168,0.7604,0.6896,-7912,2024-06-13 19:08,Break Even
2024-06-14 11:07,buy,BEAMXUSDT,0.019192,0.019825,0.018992,0.019811,0.017936,-10062,2024-06-14 15:38,Ganada
2024-06-16 19:42,sell,UNFIUSDT,4051,3922,3969,4156,4335,13656,2024-06-16 21:08,Break Even
2024-06-15 13:30,sell,XRPUSDT,0.4964,0.4805,0.4851,0.5048,0.5311,5727,2024-06-16 23:15,Break Even
2024-06-16 19:42,buy,STMXUSDT,0.00516,0.00533,0.00483,0.00521,0.00482,-12475,2024-06-17 01:11,Perdida
2024-06-17 00:06,buy,WAXPUSDT,0.04269,0.0441,0.04035,0.04291,0.0399,-12.14,2024-06-17 10:20,Perdida
2024-06-17 00:11,buy,STORJUSDT,0.3965,0.4096,371,401,0.3706,-10107,2024-06-17 10:20,Perdida
2024-06-16 18:50,sell,TRXUSDT,0.11788,0.11411,0.11493,0.11809,0.12613,2132,2024-06-17 19:44,Ganada
2024-06-20 00:17,sell,ONGUSDT,0.33981,0.32895,0.33101,0.35708,0.3636,14779,2024-06-20 09:14,Break Even
2024-06-23 00:13,sell,MTLUSDT,1.2687,1.2282,1.2424,1.2831,1.3575,13439,2024-06-23 01:30,Break Even
2024-06-23 12:03,buy,BAKEUSDT,314,324,0.2937,0.3162,293,-20691,2024-06-23 16:34,Perdida
2024-06-23 10:56,buy,ARKUSDT,0.5008,0.5173,0.4682,0.5058,468,-6232,2024-06-23 23:23,Perdida
2024-06-24 00:11,buy,UNIUSDT,9145,9447,8761,9367,8547,-8603,2024-06-24 20:35,Break Even
2024-06-25 05:31,sell,BLZUSDT,0.27643,0.2676,0.26843,279,0.29578,22869,2024-06-25 05:34,Ganada
2024-06-26 11:43,buy,ARUSDT,26127,26989,25765,26943,24418,-11051,2024-06-27 01:18,Ganada
2024-06-26 20:12,sell,SFPUSDT,0.8238,0.7975,0.8032,0.8271,0.8815,7.2,2024-06-27 03:32,Break Even
2024-06-29 00:05,buy,UMAUSDT,2408,2487,2401,2459,2.25,-7.22,2024-06-29 05:18,Break Even
2024-06-29 15:43,buy,ARPAUSDT,45,46,0.04206,0.04506,42,-5438,2024-06-29 18:53,Perdida
