Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-03-01 03:51,sell,FLMUSDT,0.1244,0.1204,0.1211,0.1244,0.1399,15.607%,2024-03-01 03:57,Ganada
2024-03-01 22:00,sell,ETCUSDT,34.13,33.04,33075,34628,38.4,11.393%,2024-03-01 23:18,Ganada
2024-03-01 20:50,sell,ADAUSDT,0.7605,0.7362,0.7364,0.7638,0.8556,9.523%,2024-03-02 01:23,Ganada
2024-03-01 22:52,sell,RVNUSDT,0.02866,0.02774,0.02777,0.02906,0.03224,5.289%,2024-03-02 03:40,Ganada
2024-03-02 00:32,sell,DGBUSDT,0.01537,0.01488,15,0.01593,0.01729,13.323%,2024-03-02 03:43,Break Even
2024-03-02 00:40,sell,LINKUSDT,21406,20722,20728,21461,24082,4.28%,2024-03-02 04:49,Ganada
2024-03-02 02:52,sell,REEFUSDT,0.002531,0.00245,0.002474,0.002727,0.002847,13.409%,2024-03-02 05:19,Break Even
2024-03-01 20:10,sell,EOSUSDT,966,935,965,1086,1087,21.362%,2024-03-02 15:59,Perdida
2024-03-02 17:40,sell,DASHUSDT,40.0,38.7,38.81,40.84,45.0,12.99%,2024-03-02 19:14,Ganada
2024-03-01 18:10,sell,BATUSDT,327,317,0.3176,0.3406,368,-2.792%,2024-03-02 20:25,Ganada
2024-03-03 15:11,sell,FTMUSDT,0.6482,0.6275,0.6279,0.6486,0.7292,20.695%,2024-03-03 15:55,Break Even
2024-03-03 19:30,sell,SXPUSDT,0.5134,497,0.4987,0.5451,0.5776,17.641%,2024-03-04 01:42,Ganada
2024-03-04 04:50,sell,BATUSDT,0.3464,0.3353,0.3367,0.3466,0.3897,8.169%,2024-03-04 05:02,Ganada
2024-03-04 05:10,sell,XLMUSDT,0.14713,0.14243,0.14414,0.15887,0.16552,9.513%,2024-03-04 12:41,Break Even
2024-03-05 13:53,buy,KLAYUSDT,0.2636,0.2723,0.2513,0.2636,0.2343,-23.913%,2024-03-05 13:57,Perdida
2024-03-05 13:54,buy,JOEUSDT,498,514,0.4928,498,443,-26.602%,2024-03-05 13:57,Perdida
2024-03-05 13:57,buy,RONINUSDT,2397,2476,2397,2397,2131,-11.532%,2024-03-05 13:58,Ganada
2024-03-05 13:57,buy,XRPUSDC,0.5423,0.5602,0.5423,0.5529,482,-14.09%,2024-03-05 13:59,Ganada
2024-03-05 14:40,buy,SXPUSDT,0.3971,0.4102,0.3971,0.4084,353,-13.305%,2024-03-05 14:47,Ganada
2024-03-05 14:45,buy,MDTUSDT,0.07437,0.07682,0.07385,0.07674,0.06611,-15.524%,2024-03-05 15:13,Ganada
2024-03-05 14:44,buy,TRUUSDT,0.06584,0.06801,0.06551,0.06795,0.05852,-10.075%,2024-03-05 15:17,Ganada
2024-03-07 13:41,sell,BANDUSDT,2.7172,2.6304,2.6316,2.7172,3.0568,13.023%,2024-03-07 13:51,Ganada
2024-03-07 11:44,sell,ACHUSDT,0.032962,0.031909,0.032262,0.036478,0.037082,14.52%,2024-03-08 02:36,Break Even
2024-03-07 15:04,sell,GMXUSDT,58.19,56.33,56.48,58.19,65.46,8.589%,2024-03-08 03:46,Break Even
2024-03-05 14:00,buy,TRXUSDT,0.13515,0.13961,0.13453,0.13837,0.12013,-0.548%,2024-03-08 10:16,Break Even
2024-03-08 19:32,sell,NKNUSDT,0.18669,0.18073,0.18109,0.18669,0.21003,15.933%,2024-03-08 19:36,Ganada
2024-03-08 21:45,sell,UMAUSDT,4803,4.65,4803,5389,5403,31.07%,2024-03-08 23:06,Perdida
2024-03-09 00:05,sell,BONDUSDT,4503,4359,4362,4503,5066,7.675%,2024-03-09 00:27,Ganada
2024-03-09 06:03,sell,GALAUSDT,0.05382,0.0521,0.05243,0.05426,0.06055,22.84%,2024-03-09 06:27,Break Even
2024-03-09 00:11,sell,GRTUSDT,0.4001,0.3873,0.38876,0.42234,0.4501,18.152%,2024-03-09 08:04,Break Even
2024-03-10 05:46,sell,CAKEUSDT,4.2304,4.0953,4.1052,4.3129,4.7592,11.375%,2024-03-10 07:33,Ganada
2024-03-13 01:00,sell,ZILUSDT,0.04484,0.04341,0.04342,0.04495,0.05044,17.55%,2024-03-13 01:14,Ganada
2024-03-13 18:21,sell,RSRUSDT,0.007642,0.007398,0.007491,0.008082,0.008597,22.863%,2024-03-13 21:51,Break Even
2024-03-13 01:14,sell,SSVUSDT,51.5,49.9,49.97,56.65,57.9,15.51%,2024-03-13 22:06,Ganada
