Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-05-02 08:21,sell,TRBUSDT,55114,53353,55114,58.46,58972,24673,2024-05-02 08:59,Perdida
2024-05-03 10:27,sell,MOVRUSDT,14979,14.5,14501,15.05,16028,21163,2024-05-03 10:37,Ganada
2024-05-03 18:44,sell,CKBUSDT,0.018769,0.018169,0.018394,0.018916,0.020083,22233,2024-05-03 19:17,Break Even
2024-05-05 09:55,sell,FRONTUSDT,0.9452,915,0.9452,1.0106,1.0114,14847,2024-05-05 10:35,Perdida
2024-05-05 11:11,sell,RSRUSDT,0.007275,0.007043,0.007053,0.00766,0.007784,14176,2024-05-05 12:41,Break Even
2024-05-05 16:47,sell,USTCUSDT,0.02292,0.02219,0.02228,0.02306,0.02452,17.57,2024-05-05 17:45,Ganada
2024-05-06 02:29,sell,ENAUSDC,0.9264,0.8968,0.9035,0.9298,0.9912,15012,2024-05-06 03:35,Break Even
2024-05-06 02:28,sell,ENAUSDT,929,899,904,0.93,994,14975,2024-05-06 03:42,Break Even
2024-05-06 04:08,sell,BOMEUSDT,0.01268,0.01227,0.01228,0.012762,0.01357,12862,2024-05-06 04:45,Ganada
2024-05-08 00:16,buy,CYBERUSDT,7931,8193,7869,8191,7412,-6672,2024-05-08 08:43,Ganada
2024-05-08 12:02,sell,BELUSDT,0.9232,0.8937,0.9232,0.9838,0.9878,12776,2024-05-08 12:18,Perdida
2024-05-08 13:05,sell,UMAUSDT,3002,2906,3002,3197,3212,12846,2024-05-08 13:31,Perdida
2024-05-09 22:16,sell,STPTUSDT,0.06178,0.05981,0.05982,0.0635,0.0661,11361,2024-05-10 05:42,Ganada
2024-05-10 06:23,sell,INJUSDT,26386,25543,25577,26957,28233,13946,2024-05-10 08:53,Ganada
2024-05-10 11:14,buy,SSVUSDT,38.36,39.63,35867,38368,35.85,-10776,2024-05-10 11:45,Perdida
2024-05-10 11:21,buy,FLMUSDT,0.0883,0.0912,87,0.0902,0.0825,-6257,2024-05-10 19:23,Break Even
