Fecha,Tipo,Nombre,Precio,Precio Esperado,Menor precio,Mayor precio,Stop Loss,Porcentaje 24hs,Fecha Completado,Resultado
2024-09-01 00:02,buy,BAKEUSDT,0.2447,0.2528,0.2353,0.2459,0.2287,-7475,2024-09-01 04:11,Cierre Preventivo
2024-09-01 07:46,buy,NEOUSDC,9471,9784,9361,9585,8851,-5754,2024-09-01 16:22,Cierre Preventivo
2024-09-03 19:03,buy,LDOUSDT,0.9291,0.9598,0.9283,0.9596,0.8683,-12254,2024-09-03 19:29,Ganada
2024-09-03 18:40,buy,ATOMUSDT,4065,4199,3899,4074,3799,-8354,2024-09-03 23:55,Cierre Preventivo
2024-09-03 19:01,buy,FTMUSDT,0.3799,0.3924,0.3684,0.3919,355,-11103,2024-09-04 02:57,Ganada
2024-09-07 09:13,sell,DARUSDT,0.1504,0.1456,0.1501,0.1607,0.1609,17404,2024-09-07 09:23,Perdida
2024-09-07 08:03,sell,BNXUSDT,1.3329,1.2903,1.3122,1.4245,1.4262,18328,2024-09-07 22:53,Perdida
2024-09-09 02:21,sell,ENJUSDT,0.14519,0.14055,0.14145,0.14559,0.15535,6369,2024-09-09 09:37,Break Even
2024-09-09 05:42,sell,ANKRUSDT,0.02429,0.02351,0.0236,0.02433,0.02599,9739,2024-09-09 10:14,Break Even
2024-09-12 19:44,sell,RIFUSDT,0.09125,0.08833,0.0888,0.09244,0.09764,11463,2024-09-12 22:27,Ganada
2024-09-13 05:26,sell,SYNUSDT,0.5057,0.4895,0.4909,0.5176,0.5411,19068,2024-09-13 06:16,Break Even
2024-09-14 17:11,sell,KSMUSDT,21.77,21.07,21074,21826,23.29,10085,2024-09-14 18:58,Ganada
2024-09-15 00:35,sell,SUPERUSDT,0.8766,0.8486,0.8699,0.9348,938,10762,2024-09-15 01:55,Perdida
2024-09-15 15:10,buy,ETCUSDT,17897,18488,17678,18019,16726,-3662,2024-09-15 19:11,Cierre Preventivo
2024-09-15 15:11,buy,SFPUSDT,0.7646,0.7898,0.7527,0.7664,0.7146,-3273,2024-09-15 19:11,Cierre Preventivo
2024-09-15 15:10,buy,ETCUSDT,17897,18488,17629,18019,16726,-3662,2024-09-15 19:22,Cierre Preventivo
2024-09-15 15:11,buy,SFPUSDT,0.7646,0.7898,0.7507,0.7664,0.7146,-3273,2024-09-15 19:22,Cierre Preventivo
2024-09-15 15:11,buy,SFPUSDT,0.7646,0.7898,0.7507,0.7664,0.7146,-3273,2024-09-15 19:33,Cierre Preventivo
2024-09-15 15:10,buy,ETCUSDT,17897,18488,17629,18019,16726,-3662,2024-09-15 19:44,Cierre Preventivo
2024-09-17 22:17,sell,PIXELUSDT,0.15,0.15,0.15,0.15,0.16,24.05,2024-09-17 22:17,Ganada
2024-09-18 21:15,sell,ALTUSDT,0.09455,0.09153,0.09219,0.09803,0.09928,15892,2024-09-18 22:37,Break Even
2024-09-18 19:54,sell,SEIUSDT,0.3412,0.3303,0.3329,0.3425,0.3583,24544,2024-09-18 23:51,Break Even
2024-09-19 01:50,sell,SXPUSDT,0.2289,0.2216,0.2244,0.2378,0.2403,13663,2024-09-19 02:51,Break Even
2024-09-19 23:44,sell,ARKUSDT,0.4014,0.3886,0.4014,0.4178,0.4215,24042,2024-09-19 23:47,Perdida
2024-09-20 01:55,sell,GASUSDT,3674,3557,3572,3731,3858,8304,2024-09-20 03:31,Break Even
2024-09-20 04:45,sell,METISUSDT,38.45,37.22,37.23,38.73,40.37,15424,2024-09-20 07:00,Ganada
2024-09-20 20:04,sell,ONGUSDT,0.34526,0.33423,0.34517,0.36244,0.36252,22592,2024-09-20 20:26,Perdida
2024-09-21 09:32,sell,IOTXUSDT,0.04375,0.04235,0.04312,0.04473,0.04594,12366,2024-09-21 13:33,Cierre Preventivo
2024-09-21 18:14,sell,PENDLEUSDT,4.1677,4.0346,4104,4.3325,4.3761,17311,2024-09-21 22:22,Cierre Preventivo
2024-09-24 16:34,sell,SEIUSDT,0.4335,0.4197,0.4291,0.4544,0.4552,17676,2024-09-24 19:00,Perdida
2024-09-24 19:45,sell,DYMUSDT,2.0942,2.0273,2.0287,2.1016,2.1989,15.41,2024-09-24 21:27,Ganada
2024-09-24 19:56,sell,VIDTUSDT,0.04527,0.04382,0.04401,0.04625,0.04753,10283,2024-09-25 02:15,Break Even
2024-09-26 12:00,sell,TRXUSDT,0.15323,0.14833,0.15294,0.15497,0.16089,1793,2024-09-26 22:11,Cierre Preventivo
2024-09-26 09:35,sell,TWTUSDT,1.0342,1.0012,1.0084,1.0554,1.0859,17203,2024-09-26 23:56,Break Even
2024-09-27 19:50,sell,SUSHIUSDT,0.8787,0.8506,0.8516,0.8919,0.9226,18439,2024-09-27 23:50,Ganada
